,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도
0,항상 맛있게 먹고 있습니다.,5,2024.03.26.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
1,너무 맛나요 ~ 짜지도 않고 적당해요~~ 다음에 또 구매할게용~,5,2024.03.25.,구매자거주인원 2인싱글유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,꽤 남았어요,꼼꼼해요,맛있어요
2,지인추천으로 사먹고 맛있어서 두통재주문했어요. 집에서 고기먹을때 없으면 서운한 반찬이 되었습니다 ㅎㅎㅎ 이거있으면 고깃집 안부러워요 짜지도않고 아삭아삭한 식감이 중동적입니다. 다먹으면 또 시킬게요,5,2024.03.25.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
3,"흠..저희 장아찌 좋아해요..근데 궁채에 고구마에서 나오는 길다린 씽?이라고해야하나 뻣빳한 줄기가 있네요.그게 먹는데 좀 불편했어요.그리고 무말랭이는 무가 바람들어간것 같고요,초석잠은 식감이 덜익은 감자 씹는기분이에요.담부턴 걍 궁채만 시킬까싶어요.그래도 짜지않고 맛나긴해요",4,2024.03.25.,구매자거주인원 5인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 5인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
4,아삭아삭 너무 짜지도 달지도 않고 맛있네요,5,2024.03.23.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
5,"맛있어요...
도착하자마자 계란후라이하나해서 밥에 먹었어요..
다른반찬 없어도 너무 맛있네요..
포장도 새지않게 아주아주 잘되었어요..
다른것도 시켜야겠어요..
다른 반찬도 있으면 너무 좋겠어요~~^^",5,2024.03.23.,구매자거주인원 4인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요
6,정말 맛있게 먹고있어요~~^^,5,2024.03.23.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
7,너무 맛있어서 계속 주문하는 곳,5,2024.03.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
8,저번에 맛있어서 요번에 두통,5,2024.03.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
9,맛있어요 근데좀달아요,3,2024.03.22.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
10,식감도 아주 아삭아삭하고 달달 짭잘해서 딱 좋아요. 밑반찬으로 적당합니드,5,2024.03.21.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요
11,친정부모님이 잘드셔서서 계속주문하게되네요,5,2024.03.21.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
12,제 입맛엔 밍밍 했어요 ㅜ,5,2024.03.21.,구매자거주인원 2인신혼/부부맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,구매자거주인원 2인신혼/부부,평범해요,아주 넉넉해요,꼼꼼해요
13,고기랑 같이 먹기 딱좋아요,5,2024.03.20.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
14,제 입맛엔 달고 짜고 하지만 오독한 식감은 좋네요,4,2024.03.20.,맛 만족도평범해요유통기한임박상품이에요포장적당해요,,평범해요,임박상품이에요,적당해요
15,"맛있어요 주문 다음날 배송되구 아삭하니 맛나요
근데 좀 많이 시큼헤서 신거 못드시는분들은 조금
많이 시다고 할거같아요 ㅎㅎ 제입맛에는 조금 시어요
근데 맛나요 ㅎㅎㅎ",5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
16,저도 저지만 특히 초등학생인 딸이 엄청좋아해요 이번이 두번째구매에2개 했어요^^다먹으면 또구매각입니다^^,5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
17,맛있어요.. 조금 저렴하면 좋겠습니다.,5,2024.03.19.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
18,아이도 잘 먹고 있어요,5,2024.03.19.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
19,굿~~~재주문 입니다~~!!,5,2024.03.19.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
20,"고기랑 맛있게 잘먹어요~~
초딩 아들 입맛에도 맛있다고 하네요~~!!",5,2024.03.19.,구매자거주인원 3인영유아 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인영유아 가정,아주 넉넉해요,꼼꼼해요,맛있어요
21,자주 재구매하는 상품이에요,5,2024.03.16.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
22,진짜맛이습니다ㅋㅋ 또시킬예정 진짜괜찮음,5,2024.03.16.,구매자거주인원 3인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요
23,가족모두 너무 맛있게 잘 먹었습니다. 나중엔 아껴먹었어요. 다시 사먹을 예정입니다!!,5,2024.03.16.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,적당해요,맛있어요
24,떨어질때마다 재주문하고 있습니다ㆍ입맛 돋워주는 깔끔한 맛이예요~,5,2024.03.15.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
25,포장도 깔끔히 잘 되어있고 아주 맛있습니다.,5,2024.03.15.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
26,입맛없는 언니한텨 보냈더니 아삭하고 맛있다고 하여 기분 좋았어요,5,2024.03.15.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
27,긍채를 나물로만 먹다가 식당에서 장아찌로 먹어봤더니 괜찮아서 찾아서 주문했네요. 맛있네요,5,2024.03.14.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
28,무조건 재구매 각 입니다,5,2024.03.14.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
29,"온 가족이 좋아해요~~ 꼬마김밥 싸먹을때 넣어주니 아이가 참 잘 먹네요^^
앞으로도 잘 부탁드립니다!!!",5,2024.03.14.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
30,"새콤하고 적당히달달하고 아주아삭하니 너무맛있습니다.
재구매의사있습니다.",5,2024.03.13.,구매자거주인원 4인유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,구매자거주인원 4인,꽤 남았어요,적당해요,맛있어요
31,고기 먹을때 같이먹으면 맛있어요,5,2024.03.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
32,"우리집 단골메뉴로 늘 주문해서 먹고 있어요
매번 3개씩 주문해서 자취하는 딸들이 하나씩 가져가 먹고 떨어져서 다시 주문합니다~",5,2024.03.13.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
33,궁채 짱아찌를 너무 좋아합니다 잘 먹겠습니다,4,2024.03.12.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
34,오독오독 식감 좋고 맛도 좋아요,5,2024.03.12.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
35,짜지 않고  맛있어서  스파게티나 기름진음식 먹을때 좋아요,5,2024.03.12.,구매자거주인원 4인대가족유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,꽤 남았어요,꼼꼼해요,맛있어요
36,늘 멋던거라~ 지인에게 한통 선물 했는데 너무 맛있다며~~~난리난리네요,5,2024.03.12.,구매자거주인원 2인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인싱글,아주 넉넉해요,꼼꼼해요,맛있어요
37,식감조아요 오독오독  씹히는 맛이 좋으네요  여행가서 맛있게  먹은 기억이  있어 여기저기  찾아봣는데  리뷰가 많아서 선택해봣는데 신맛이  강한거제외하곤 고기먹고  깔끔하게 입맛낼수  잇어 좋은것 같아요,4,2024.03.11.,구매자거주인원 4인대가족유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,구매자거주인원 4인대가족,꽤 남았어요,적당해요,맛있어요
38,너무너무 맛있어요^^너무 짜거나 너무 시지도 않아서 너무 좋았답니다^^최고에요!,5,2024.03.11.,구매자거주인원 3인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
39,사각사각 맛있는 장아찌 입니다^^,5,2024.03.11.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
40,첫 주문인데 맛있어요 :),5,2024.03.11.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
41,정말  맛있게  잘  먹었어요. 고기랑  먹을 때  깔끔해요.,5,2024.03.11.,유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,,아주 넉넉해요,적당해요,맛있어요
42,제가 찾던 궁체 보다  간장맛이 더 강하네요..,4,2024.03.10.,구매자거주인원 1인싱글맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,구매자거주인원 1인싱글,평범해요,아주 넉넉해요,꼼꼼해요
43,아삭하니 아주 맛있어요,5,2024.03.09.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
44,약간 새콤한 맛이 더 강한 장아찌네요~!  잘먹겠습니다,4,2024.03.08.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
45,고기먹을때 한번행궈서 싸먹어요,3,2024.03.08.,구매자거주인원 4인취학자녀 가정맛 만족도평범해요유통기한꽤 남았어요포장적당해요,구매자거주인원 4인취학자녀 가정,평범해요,꽤 남았어요,적당해요
46,맛있어요. 잘 먹고 있어용,5,2024.03.07.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
47,좋아하는 고기집 그 맛은 아니지만 오독오독 식감 좋고 먹을만했어요,5,2024.03.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
48,맛잇어서 재주문햇엇는데조아오ㅡㅋ,5,2024.03.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
49,"맛있어서 생각날때 시켜먹었는데 이번 배송 상태는 좀 엉망이었어요
아이스팩도 없고 박스는 다 깨져서 테이프로 칭칭갑아서 왔더라구요
포장에 신경써주세요",4,2024.03.06.,유통기한꽤 남았어요포장별로예요맛 만족도맛있어요,,꽤 남았어요,별로예요,맛있어요
50,마니파세요마니파세요,5,2024.03.06.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요
51,3번째 구매입니다 구정때 대가족들와서 너무 맛있게 잘 먹었어용,5,2024.03.06.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
52,"맛있어요~~식구들모두 잘먹어요
삼겹살먹을때 먹으니 맛있어요",5,2024.03.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
53,믿고 구매해요 맛도 좋아요,5,2024.03.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
54,아삭아삭 너무 맛있어요. 또 구입각입니다,5,2024.03.05.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
55,깔끔하고 맛있어요 양이 적어서 아껴먹어요ㅎㅎ,5,2024.03.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
56,맛있어요! 조금만 덜 달면 좋긴 하겠어요. 초딩 입맛처럼 까다로운 딸이 이게 뭐야~~~ 하더니 생각보다 괜찮네? 하면서 오도독 잘 먹어요. 가격이 좀 내려가거나 내용물이 더 실해도 좋겠습니다...^^;,4,2024.03.05.,구매자거주인원 2인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요
57,"고기랑 먹을 때 정말 좋아요, 다 먹으면 재구매할 예정입니다 :) 오도독한 식감이 너무 좋아용",5,2024.03.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
58,이번이 3번째 재구매 입니다. 자취생에게 필수 밑반찬이어서 없으면 이제 심심하네요. ㅎㅎ 너무 맛있습니다.,5,2024.03.04.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
59,아삭한게 너무 맛있어요,5,2024.03.04.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
60,찐맛있어요 ㅋㅋ 입맛까다로윤 남편입에서 맛있단말 나와요 ㅋ,5,2024.03.03.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
61,고기랑 먹음 앗있을것 같아용,5,2024.03.03.,맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요,,평범해요,꽤 남았어요,꼼꼼해요
62,밑반찬으로 냉장고에 두고 먹으니 좋네요~,5,2024.03.02.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
63,부모님이 잘드시고 계세요ㅎㅎ 씹는맛이 좋은 나물장아찌 입니다 맛있어용,5,2024.03.01.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
64,"재구매로 2개 주문했어요.
진짜 믿고 먹고 있어요.
맛은 최고여요~~",5,2024.03.01.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
65,맛있게잘먹구있어요 입맛없을때 좋은거같아요,5,2024.02.29.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
66,깨끗하고 맛있어요.~,5,2024.02.29.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
67,"늘 맛있게 먹고 있어요
좋아요",5,2024.02.29.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
68,"궁채 장아찌중 제일맛있어요
잘먹을께요",5,2024.02.29.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요
69,아삭아삭 맛있어서 재구매각.,5,2024.02.28.,유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,,아주 넉넉해요,적당해요,맛있어요
70,배송빠르고 잘 받았습니다.,5,2024.02.28.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
71,"상품은 좋아요 맛도 괜찮습니다
그런데 포장이 아주 엉망입니다
아이스박스 다 부서진채로 테이프로 돌돌 말려서..
택배사 문제인지.. 아이스박스 안에도 뽁뽁이나 비닐한번 더 싸서 넣어주시면 좋았을텐데 아쉽네요",5,2024.02.28.,구매자거주인원 2인신혼/부부유통기한꽤 남았어요포장별로예요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,꽤 남았어요,별로예요,맛있어요
72,맛있어보이고  포장 깔끔하네요,5,2024.02.28.,구매자거주인원 1인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 1인,아주 넉넉해요,꼼꼼해요,맛있어요
73,맛있어요 주기적으로 재구매 의사있습니다,5,2024.02.28.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
74,와우~!! 다~맛있어요 각의매력이 다있어요,5,2024.02.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
75,"처음시켜봤는데
아삭하고
맛있어요 
다먹으면
재구매할꺼예요
추천합니다",5,2024.02.27.,구매자거주인원 2인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인,아주 넉넉해요,꼼꼼해요,맛있어요
76,"캠핑가서 친구가 가지고 온걸먹고
구매했습니다
이런 식감과 맛이라니 와우~~
잘 먹을께요
재구매 각입니다~~",5,2024.02.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
77,"엄마가 궁채를 너무 좋아해요~~~포장 너무 깔끔하고 좋네요^^
맛있으면 또 또 주문 할게요!!",5,2024.02.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
78,"아싹한 맛이 최고에요
식구들이 다 좋아하는 궁채입니다
사장님 맛있게 잘 먹겠습니다 ^^~",5,2024.02.27.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
79,"재구매입니다. 너무 맛있어서 시댁에 드렸어요~
받으신분 후기는 다음에^^~",5,2024.02.27.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
80,"다 먹을때쯤 되면 추가주문 합니다
짜지도 않고 무른거 없이 아삭하고 맛있고 좋아요!!!",5,2024.02.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
81,"안전하게 잘받았습니다.감사합니다.
맛있게 먹을께요;:",5,2024.02.27.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요
82,"아직 안먹었어요
모듬  짱아찌 먼저  먹고있는중 입니다
유리네 는  많은 사람들이  믿고  먹는거  같아서   저도   맛나게  먹어보려 합니다",4,2024.02.27.,구매자거주인원 3인맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요,구매자거주인원 3인,평범해요,꽤 남았어요,꼼꼼해요
83,생각보다 짜네요  ㅠㅠ,3,2024.02.26.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요
84,"엇 생각보다 너무 맛있어서 놀랐어요.. 나물이랑 비벼 먹다가 궁채 잘라 넣었거든요
식감도 그렇고 단짠신맛이 다 있어서 비빔밥이 더 맛있었어요.
그래서 추가구매합니디~~",5,2024.02.26.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
85,좋아요 좋아요 좋아요,5,2024.02.25.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
86,"맛 있어서 재 구매했습니다
삼겹살과 같이 먹으면 더 맛 있어요",5,2024.02.25.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
87,아삭하고 새콤달콤 맛있어요,5,2024.02.24.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
88,"역시 궁채 식감은 아삭함의 최고!!
너무 아삭하고, 매번 반찬집 궁채샐러드 사먹다가 장아찌로 먹으니 엄마가 더 좋아하네요~",5,2024.02.23.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
89,"궁채를 좋아하는데 동네 반찬가게는 궁채를 늘 들깨무침?을 해서 처음으로 온라인으로 사봤는데 너무 짜거나 무르지도 않고 아주 맛있어요. 초석잠은 훨씬 아삭거리고 궁채 오도독하고 가격 맞추려고산 무장아찌도 무난해요. 
궁채를 기대하고 산 저는 오히려 초석잠이 더 좋았는데 동생은 궁채가 최고라네요.",5,2024.02.23.,구매자거주인원 3인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인,아주 넉넉해요,꼼꼼해요,맛있어요
90,선물했어요. 포장이 꼼꼼해서 맘에 드네요.,5,2024.02.23.,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,,평범해요,아주 넉넉해요,꼼꼼해요
91,맛있어요..제입에는 약간 짜요. 물에 살짝. 담갔다가 먹어요,5,2024.02.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
92,맛있어서 재구매했어요,5,2024.02.22.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
93,맛있어서 재구매했어요,5,2024.02.22.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
94,세통 시켰는데 벌써 한통 다 먹었어요. 고기랑 먹을 때 넘 좋네요,5,2024.02.22.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요
95,만족합니다. 맛나요.,5,2024.02.22.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요
96,3번째 주문이예요~ 너무 맛있어요 감사합니다.,5,2024.02.22.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요
